GFP,Rab1a,Rab1b,Rab2,Rab3,Rab4,Rab5a,Rab5c,Rab6,Rab7,Rab8a,Rab8b,Rab9,Rab10,Rab11,Rab12,Rab13,Rab14,Rab15,Rab17,Rab18,Rab19,Rab20,Rab21,Rab22,Rab23,Rab24,Rab25,Rab26,Rab27,Rab28,Rab30,Rab33a,Rab33b,Rab35,Rab37,Rab38,Rab39,Rab40,Rab43
1.122964052,2.262667262,1.375570875,1.307767294,2.067640243,2.938168734,0.765481795,1.186397744,0.752645234,0.684641502,1.188579169,0.982299733,0.945424263,1.369310716,2.696327131,0.885694376,0.669807211,1.700161389,0.59954955,0.890425975,0.909958496,1.352276848,0.914382359,1.027048446,1.191168015,0.896060517,1.111752936,1.753290414,2.602959688,0.49466952,1.259448379,2.717170955,1.556608694,1.095556082,1.593332766,2.000487576,1.116710461,1.069260359,1.382758706,2.634079327
0.850298376,2.261615746,1.018799017,1.758358752,2.202501931,2.370286644,0.851091705,1.064238642,0.885709912,0.802150301,0.865016044,1.192774775,1.071951362,1.40181207,2.406093501,0.527014355,0.786048996,2.100449596,0.850931714,0.980037905,0.714617026,1.007385567,0.995226608,0.856545775,0.902602147,0.922580645,1.05023794,0.952463392,1.965315389,1.228187012,0.983356096,1.96724759,1.973565724,1.464075662,1.36739232,2.422326345,1.318468708,1.822156885,1.549872865,1.159343892
1.066453039,1.727909187,1.142714388,1.285855528,2.174846454,2.74178428,0.856639951,0.965002488,0.812485269,1.013059767,0.881418198,0.793863183,1.087081893,0.799289663,3.305012552,2.029396465,1.158557734,1.810892823,0.725308169,1.006081358,1.034579588,2.185282209,1.406655442,1.258190411,1.140040296,0.932090546,1.086425389,1.573658153,1.419987933,0.966930747,1.312815005,2.471573453,1.430361216,1.352318715,1.213809404,1.993723468,1.098762774,1.096178292,0.956125452,1.204423798
0.965049296,0.757084238,1.261295059,1.337416075,2.162092419,2.361397566,1.830619546,1.038333206,0.591962925,0.776631404,0.969447142,0.809274676,0.88897925,1.460952764,3.058574969,2.244169351,0.815098355,1.338092676,0.943366962,0.568492431,0.95472814,1.475180563,1.11743095,0.993877949,1.229555931,1.038219478,1.445578521,2.510108018,1.035058732,1.024042484,1.248363414,2.135600862,1.363412443,1.455413723,1.216940415,1.157215707,0.971507481,0.822284323,1.154171886,1.386196476
0.914374191,0.737707915,1.451059619,1.219711082,2.539453723,2.57822736,1.215881549,1.611120873,1.432153474,1.212980426,1.145169029,0.797988889,1.103106816,1.44792658,1.36575806,2.023953504,0.81752119,1.397845466,1.226650594,0.441434828,0.992043769,1.285531239,0.934169885,1.22134087,1.072469874,0.992002319,0.750110467,3.076283296,1.32800618,2.158937475,1.285275088,1.818576096,1.085046529,1.389510172,1.111159196,1.358183025,1.116113276,1.038089965,0.867515997,1.676521742
0.672561329,1.350163828,1.095573003,1.001874868,1.594208832,1.85418185,1.889959123,1.49686376,0.880619493,0.895686488,1.116930897,0.792538491,1.143230998,1.695879439,1.785568106,1.899538126,0.867335998,2.10655551,1.061381768,0.533276281,0.872230193,1.796182934,1.364864679,1.295374874,0.880939947,1.091574265,0.812871995,4.254074885,1.318211597,1.141555634,0.903712626,3.555154301,1.527815765,1.085872366,1.049702316,1.108141023,0.986001712,0.994803708,0.895580958,1.959244355
0.790617089,1.668460034,1.290926383,1.22614556,1.624620108,2.226406055,1.238633032,1.192253192,0.682512931,1.291348956,0.92855946,0.671968016,1.096370795,1.661253928,1.647674775,1.413522378,1.017557163,2.715000421,0.936514944,0.934184209,0.972630888,1.383996929,1.141234087,1.262061789,0.900713269,1.013996836,1.241275474,3.325045932,1.235731845,1.250163799,1.167682998,1.778430536,1.134663044,1.411367712,1.131571518,1.017276066,1.074720895,1.009435934,0.687157156,1.137744795
0.834104413,1.580094969,1.224190184,1.069624812,2.438860596,2.065193984,1.210425146,1.15127245,0.853783873,0.966182123,1.152221746,0.848626045,0.81360279,1.589479243,2.027042591,1.419086747,1.130540894,2.358263554,1.411877799,1.144157391,0.715571003,1.110109098,1.214207827,1.236130654,1.075971931,1.034080275,1.308455449,1.586370543,1.561366196,1.435930824,1.071404714,2.403877419,1.415814974,1.3704125,1.215138553,0.853453774,0.904842987,1.40531962,0.525503313,1.78825281
0.861945503,1.341117032,1.051095764,1.708078144,1.348470265,2.584270313,1.165995298,2.429583,1.700461005,0.993538605,1.186866074,0.490052272,0.865320779,1.705986807,1.521718563,2.059400607,1.522366276,1.603460805,1.472297678,0.927660644,0.819720628,1.139158458,1.289366791,1.451585283,1.035893698,1.025221608,1.152605364,1.028178117,1.574843641,1.167539044,1.162026084,1.734672986,1.307260502,0.893871397,1.033684514,1.137719027,0.97917947,1.759143158,0.470924173,1.573650967
0.940611527,1.345540426,1.594467499,1.584046118,3.069114796,2.56203616,0.845762486,2.000423403,0.945928926,0.991532709,1.025587187,1.202110574,0.949391138,2.935808553,1.757769216,1.835854704,1.786373876,1.850311358,1.003041989,0.956824124,0.855612107,1.576036119,1.295848972,1.599748754,1.028589308,0.989644289,1.236845877,1.603356872,1.099203982,1.203702541,1.166104787,3.43087466,1.021244152,0.898982549,1.206178838,1.295463352,0.925190496,1.396743118,0.952800379,1.225439212
