Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,586,596,-1.000,-1.000,8560
1,2,582,592,1.284,0.128,9221
1,3,576,590,1.436,0.144,9373
1,4,564,586,2.871,0.287,9285
1,5,544,586,4.540,0.454,9174
1,6,522,586,4.994,0.499,8799
1,7,510,586,2.724,0.272,9437
1,8,498,582,2.871,0.287,8397
1,9,484,582,3.178,0.318,9215
1,10,462,582,4.994,0.499,8582
1,11,452,584,2.315,0.231,8453
1,12,444,586,1.872,0.187,8615
1,13,442,586,0.454,0.045,8228
1,14,438,570,3.744,0.374,8084
1,15,436,564,1.436,0.144,8391
1,16,440,548,3.744,0.374,9115
1,17,440,542,1.362,0.136,8990
1,18,442,542,0.454,0.045,8742
1,19,440,540,0.642,0.064,9241
1,20,440,530,2.270,0.227,8662
1,21,440,524,1.362,0.136,8011
1,22,438,520,1.015,0.102,8214
1,23,422,520,3.632,0.363,9034
1,24,410,520,2.724,0.272,9877
2,1,324,280,-1.000,-1.000,7850
2,2,324,280,0.000,0.000,8670
2,3,300,296,6.548,0.655,8234
2,4,278,322,7.731,0.773,8067
2,5,272,336,3.458,0.346,8252
2,6,262,348,3.546,0.355,8470
2,7,248,366,5.176,0.518,8468
2,8,232,388,6.175,0.618,7921
2,9,216,408,5.814,0.581,8358
2,10,206,424,4.283,0.428,8655
2,11,188,440,5.467,0.547,8802
2,12,172,460,5.814,0.581,7941
2,13,154,474,5.176,0.518,8863
2,14,146,484,2.907,0.291,8273
2,15,126,506,6.749,0.675,8759
2,16,108,532,7.178,0.718,8266
2,17,106,546,3.210,0.321,8304
2,18,104,582,8.185,0.818,8736
2,19,102,612,6.825,0.683,8618
2,20,100,644,7.278,0.728,8609
2,21,100,662,4.086,0.409,8173
2,22,104,688,5.971,0.597,7749
2,23,110,708,4.740,0.474,8927
2,24,116,736,6.500,0.650,8155
2,25,124,750,3.660,0.366,8715
2,26,134,766,4.283,0.428,8494
2,27,154,790,7.092,0.709,8917
2,28,180,802,6.500,0.650,9899
2,29,196,806,3.744,0.374,9482
2,30,202,806,1.362,0.136,8994
3,1,708,806,-1.000,-1.000,8455
3,2,726,820,5.176,0.518,8752
3,3,742,826,3.879,0.388,8201
3,4,768,834,6.175,0.618,8296
3,5,778,842,2.907,0.291,8712
3,6,788,850,2.907,0.291,8568
3,7,802,860,3.905,0.391,7560
3,8,810,866,2.270,0.227,8242
3,9,822,874,3.274,0.327,8714
3,10,826,884,2.445,0.244,9093
3,11,834,896,3.274,0.327,8680
3,12,846,906,3.546,0.355,8560
3,13,850,914,2.030,0.203,8820
3,14,856,918,1.637,0.164,8208
3,15,860,924,1.637,0.164,8598
3,16,872,938,4.186,0.419,9180
3,17,882,942,2.445,0.244,9284
3,18,888,946,1.637,0.164,8953
3,19,900,950,2.871,0.287,8887
3,20,910,956,2.647,0.265,8445
3,21,916,972,3.879,0.388,8601
3,22,924,996,5.743,0.574,8105
3,23,938,1030,8.347,0.835,8326
