Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,330,618,-1.000,-1.000,5143
1,2,336,614,1.637,0.164,5021
1,3,342,626,3.046,0.305,4696
1,4,344,642,3.660,0.366,4744
1,5,342,656,3.210,0.321,4550
1,6,338,674,4.186,0.419,5053
1,7,338,684,2.270,0.227,5310
1,8,334,706,5.076,0.508,5111
1,9,334,722,3.632,0.363,4923
1,10,338,740,4.186,0.419,4477
1,11,340,746,1.436,0.144,4495
1,12,342,764,4.111,0.411,4825
1,13,346,778,3.305,0.331,4705
1,14,348,784,1.436,0.144,5185
1,15,348,796,2.724,0.272,5000
1,16,344,802,1.637,0.164,4811
1,17,342,806,1.015,0.102,4809
1,18,338,814,2.030,0.203,5467
1,19,338,820,1.362,0.136,5327
1,20,338,840,4.540,0.454,5492
1,21,342,860,4.630,0.463,4976
1,22,342,886,5.902,0.590,5016
1,23,342,886,0.000,0.000,4971
1,24,342,888,0.454,0.045,5029
1,25,342,894,1.362,0.136,5452
1,26,342,908,3.178,0.318,5108
1,27,342,918,2.270,0.227,4985
1,28,342,932,3.178,0.318,4798
1,29,342,940,1.816,0.182,5166
1,30,348,954,3.458,0.346,4880
1,31,348,964,2.270,0.227,4806
1,32,354,982,4.307,0.431,4470
1,33,354,994,2.724,0.272,4861
1,34,354,1010,3.632,0.363,4692
1,35,354,1026,3.632,0.363,5055
1,36,354,1044,4.086,0.409,5075
1,37,350,1056,2.871,0.287,4694
1,38,350,1068,2.724,0.272,4769
1,39,342,1088,4.890,0.489,4964
1,40,342,1096,1.816,0.182,5733
1,41,342,1102,1.362,0.136,5613
1,42,342,1110,1.816,0.182,5171
1,43,342,1128,4.086,0.409,5963
1,44,338,1156,6.421,0.642,5097
1,45,338,1166,2.270,0.227,5806
1,46,334,1184,4.186,0.419,5508
1,47,328,1206,5.176,0.518,4890
1,48,326,1216,2.315,0.231,5405
1,49,322,1232,3.744,0.374,4924
1,50,314,1252,4.890,0.489,5168
1,51,308,1276,5.616,0.562,5242
1,52,304,1286,2.445,0.244,5202
1,53,298,1292,1.926,0.193,5330
1,54,288,1302,3.210,0.321,5721
1,55,282,1308,1.926,0.193,5605
1,56,278,1314,1.637,0.164,5350
1,57,268,1318,2.445,0.244,5195
1,58,260,1322,2.030,0.203,5288
1,59,254,1324,1.436,0.144,5194
1,60,248,1326,1.436,0.144,4851
1,61,244,1326,0.908,0.091,4541
1,62,242,1326,0.454,0.045,4687
1,63,236,1328,1.436,0.144,5681
1,64,236,1330,0.454,0.045,5534
2,1,404,650,-1.000,-1.000,4692
2,2,410,650,1.362,0.136,5032
2,3,410,652,0.454,0.045,5089
2,4,412,656,1.015,0.102,4537
2,5,412,662,1.362,0.136,4913
2,6,412,674,2.724,0.272,5180
2,7,408,688,3.305,0.331,5279
2,8,408,696,1.816,0.182,4459
2,9,408,698,0.454,0.045,5092
2,10,408,706,1.816,0.182,5223
2,11,414,728,5.176,0.518,4853
2,12,414,736,1.816,0.182,5280
2,13,416,752,3.660,0.366,4961
2,14,416,760,1.816,0.182,4956
2,15,416,784,5.448,0.545,4891
2,16,410,804,4.740,0.474,5005
2,17,402,824,4.890,0.489,4607
2,18,400,832,1.872,0.187,4969
2,19,398,844,2.762,0.276,4936
2,20,400,864,4.563,0.456,4616
2,21,404,866,1.015,0.102,5067
2,22,412,874,2.568,0.257,4767
2,23,418,884,2.647,0.265,5198
2,24,422,896,2.871,0.287,4619
2,25,430,914,4.471,0.447,5015
2,26,432,924,2.315,0.231,4994
2,27,434,934,2.315,0.231,4596
2,28,436,940,1.436,0.144,4945
2,29,440,942,1.015,0.102,5120
2,30,444,952,2.445,0.244,4661
2,31,446,964,2.762,0.276,4862
2,32,448,966,0.642,0.064,5136
2,33,452,968,1.015,0.102,5109
2,34,456,978,2.445,0.244,5112
2,35,460,980,1.015,0.102,5065
2,36,462,982,0.642,0.064,4892
2,37,474,988,3.046,0.305,4928
2,38,486,1006,4.911,0.491,5056
2,39,498,1012,3.046,0.305,5549
2,40,506,1016,2.030,0.203,5366
2,41,506,1018,0.454,0.045,5235
3,1,618,624,-1.000,-1.000,5276
3,2,620,620,1.015,0.102,4233
3,3,628,618,1.872,0.187,4851
3,4,640,618,2.724,0.272,5368
3,5,646,618,1.362,0.136,5575
3,6,658,630,3.852,0.385,4178
3,7,674,634,3.744,0.374,4579
3,8,692,646,4.911,0.491,5045
