Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1006,486,-1.000,-1.000,9649
1,2,1016,456,7.178,0.718,7275
1,3,1016,452,0.908,0.091,7619
1,4,1014,442,2.315,0.231,8025
1,5,1008,430,3.046,0.305,8503
1,6,1006,426,1.015,0.102,9017
1,7,998,412,3.660,0.366,8498
1,8,986,406,3.046,0.305,8506
1,9,972,394,4.186,0.419,7631
1,10,962,388,2.647,0.265,2850
1,11,954,384,2.030,0.203,7433
1,12,946,376,2.568,0.257,7473
1,13,942,372,1.284,0.128,8106
1,14,932,356,4.283,0.428,8491
1,15,924,348,2.568,0.257,7888
1,16,918,340,2.270,0.227,8443
1,17,910,334,2.270,0.227,8366
1,18,902,330,2.030,0.203,7276
1,19,898,328,1.015,0.102,5685
1,20,888,316,3.546,0.355,8899
1,21,888,314,0.454,0.045,12646
1,22,868,274,10.152,1.015,8490
1,23,868,262,2.724,0.272,7596
1,24,868,250,2.724,0.272,8118
1,25,868,232,4.086,0.409,8524
1,26,870,206,5.919,0.592,8178
1,27,872,154,11.813,1.181,8648
1,28,872,146,1.816,0.182,8466
1,29,876,130,3.744,0.374,6185
1,30,878,110,4.563,0.456,8000
1,31,874,94,3.744,0.374,6889
1,32,874,92,0.454,0.045,7321
1,33,872,92,0.454,0.045,6184
1,34,870,92,0.454,0.045,7610
1,35,868,92,0.454,0.045,7773
1,36,864,94,1.015,0.102,9272
1,37,854,96,2.315,0.231,7209
1,38,854,98,0.454,0.045,8596
1,39,852,98,0.454,0.045,7976
1,40,846,100,1.436,0.144,8301
1,41,844,102,0.642,0.064,7915
1,42,830,108,3.458,0.346,7646
1,43,828,114,1.436,0.144,7717
1,44,824,120,1.637,0.164,7503
1,45,818,128,2.270,0.227,7502
1,46,808,142,3.905,0.391,8160
1,47,796,152,3.546,0.355,8298
1,48,786,158,2.647,0.265,8238
1,49,768,166,4.471,0.447,8283
1,50,756,176,3.546,0.355,8541
1,51,742,182,3.458,0.346,8391
1,52,736,188,1.926,0.193,8627
