Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1192,524,-1.000,-1.000,8066
1,2,1196,530,1.637,0.164,8702
1,3,1196,534,0.908,0.091,8561
1,4,1196,540,1.362,0.136,9369
1,5,1196,548,1.816,0.182,7878
1,6,1194,558,2.315,0.231,8164
1,7,1182,578,5.295,0.529,8935
1,8,1172,594,4.283,0.428,8015
1,9,1164,618,5.743,0.574,6716
1,10,1162,628,2.315,0.231,8447
1,11,1164,664,8.185,0.818,8296
1,12,1168,682,4.186,0.419,7712
1,13,1162,696,3.458,0.346,8330
1,14,1150,698,2.762,0.276,9048
1,15,1134,700,3.660,0.366,8842
1,16,1120,700,3.178,0.318,8949
1,17,1100,712,5.295,0.529,8497
1,18,1088,716,2.871,0.287,8288
1,19,1076,728,3.852,0.385,8157
1,20,1072,734,1.637,0.164,7461
1,21,1068,742,2.030,0.203,8840
1,22,1066,744,0.642,0.064,8595
1,23,1064,752,1.872,0.187,8678
1,24,1064,760,1.816,0.182,8767
1,25,1064,768,1.816,0.182,7478
1,26,1062,778,2.315,0.231,8832
1,27,1062,780,0.454,0.045,8244
1,28,1062,786,1.362,0.136,8731
1,29,1064,794,1.872,0.187,8398
1,30,1064,806,2.724,0.272,7783
1,31,1064,806,0.000,0.000,8417
1,32,1066,806,0.454,0.045,8547
2,1,938,654,-1.000,-1.000,8642
2,2,940,652,0.642,0.064,8665
2,3,956,634,5.467,0.547,8646
2,4,960,626,2.030,0.203,8069
2,5,970,612,3.905,0.391,7858
2,6,980,594,4.674,0.467,8709
2,7,986,586,2.270,0.227,9112
2,8,994,570,4.061,0.406,8114
2,9,998,568,1.015,0.102,8534
2,10,1000,540,6.372,0.637,8787
2,11,1002,518,5.015,0.501,8367
2,12,1002,502,3.632,0.363,9192
2,13,1002,496,1.362,0.136,7772
2,14,1006,492,1.284,0.128,8690
2,15,1012,480,3.046,0.305,8792
2,16,1020,462,4.471,0.447,9053
2,17,1024,452,2.445,0.244,8545
2,18,1024,452,0.000,0.000,8223
2,19,1028,448,1.284,0.128,8532
2,20,1032,448,0.908,0.091,8840
2,21,1040,448,1.816,0.182,7893
2,22,1058,450,4.111,0.411,8623
2,23,1062,450,0.908,0.091,7164
2,24,1068,454,1.637,0.164,8001
2,25,1086,468,5.176,0.518,7244
2,26,1096,476,2.907,0.291,8891
2,27,1102,478,1.436,0.144,8620
2,28,1112,478,2.270,0.227,7831
2,29,1118,478,1.362,0.136,9336
2,30,1126,478,1.816,0.182,8061
2,31,1134,482,2.030,0.203,11724
2,32,1138,492,2.445,0.244,7842
2,33,1146,526,7.929,0.793,8771
2,34,1146,540,3.178,0.318,8430
2,35,1142,554,3.305,0.331,8655
2,36,1134,568,3.660,0.366,8388
2,37,1126,580,3.274,0.327,7638
2,38,1124,594,3.210,0.321,8079
2,39,1124,600,1.362,0.136,8094
2,40,1124,610,2.270,0.227,8920
2,41,1124,630,4.540,0.454,7825
2,42,1126,640,2.315,0.231,8751
2,43,1126,654,3.178,0.318,9176
2,44,1128,670,3.660,0.366,8353
2,45,1128,686,3.632,0.363,8387
2,46,1128,694,1.816,0.182,8369
2,47,1128,700,1.362,0.136,8502
2,48,1130,710,2.315,0.231,8563
2,49,1132,714,1.015,0.102,8749
2,50,1136,722,2.030,0.203,8027
2,51,1138,728,1.436,0.144,9660
2,52,1140,740,2.762,0.276,8030
2,53,1142,742,0.642,0.064,8824
2,54,1136,752,2.647,0.265,8893
2,55,1134,760,1.872,0.187,8219
2,56,1134,768,1.816,0.182,8911
2,57,1136,768,0.454,0.045,8568
2,58,1136,772,0.908,0.091,7988
2,59,1134,776,1.015,0.102,8841
2,60,1120,776,3.178,0.318,8618
2,61,1114,776,1.362,0.136,8924
3,1,1466,604,-1.000,-1.000,7898
3,2,1462,606,1.015,0.102,8034
3,3,1468,618,3.046,0.305,8043
3,4,1484,638,5.814,0.581,7727
3,5,1490,642,1.637,0.164,8555
3,6,1504,656,4.494,0.449,7743
3,7,1532,674,7.556,0.756,7314
3,8,1554,696,7.063,0.706,7663
3,9,1574,716,6.421,0.642,7157
3,10,1580,720,1.637,0.164,7860
3,11,1582,718,0.642,0.064,7686
3,12,1584,716,0.642,0.064,8010
3,13,1588,708,2.030,0.203,5927
3,14,1600,708,2.724,0.272,7449
3,15,1620,714,4.740,0.474,7114
3,16,1654,734,8.954,0.895,7384
3,17,1666,746,3.852,0.385,8101
3,18,1686,768,6.749,0.675,7709
3,19,1734,810,14.478,1.448,6576
3,20,1766,850,11.628,1.163,6957
3,21,1788,912,14.934,1.493,6893
3,22,1794,962,11.431,1.143,6626
3,23,1792,984,5.015,0.501,7729
3,24,1784,1018,7.929,0.793,7157
3,25,1784,1036,4.086,0.409,6708
