Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1582,544,-1.000,-1.000,7886
1,2,1568,522,5.919,0.592,7401
1,3,1554,518,3.305,0.331,8326
1,4,1534,502,5.814,0.581,8190
1,5,1512,490,5.689,0.569,8065
1,6,1482,462,9.315,0.932,8768
1,7,1468,444,5.176,0.518,7973
1,8,1440,444,6.356,0.636,8235
1,9,1418,450,5.176,0.518,7233
1,10,1366,456,11.882,1.188,7458
1,11,1340,460,5.971,0.597,6853
1,12,1302,466,8.733,0.873,6642
1,13,1260,476,9.801,0.980,8196
1,14,1226,488,8.185,0.818,7760
1,15,1206,498,5.076,0.508,7876
1,16,1188,508,4.674,0.467,7345
1,17,1148,502,9.182,0.918,7802
1,18,1098,498,11.386,1.139,7535
1,19,1078,498,4.540,0.454,8353
1,20,1066,498,2.724,0.272,6966
1,21,1040,494,5.971,0.597,8131
1,22,1022,474,6.108,0.611,6895
1,23,1010,448,6.500,0.650,7039
1,24,996,412,8.768,0.877,7818
1,25,980,382,7.718,0.772,7851
1,26,960,340,10.560,1.056,7745
1,27,960,304,8.172,0.817,6924
1,28,958,282,5.015,0.501,8533
1,29,958,266,3.632,0.363,7675
1,30,946,236,7.335,0.733,8222
1,31,920,232,5.971,0.597,6763
1,32,874,232,10.442,1.044,7929
1,33,852,232,4.994,0.499,7294
1,34,834,232,4.086,0.409,7851
1,35,824,236,2.445,0.244,7366
1,36,808,232,3.744,0.374,8375
1,37,772,222,8.481,0.848,7509
1,38,760,210,3.852,0.385,6954
1,39,734,194,6.930,0.693,7314
1,40,658,146,20.405,2.040,7348
1,41,636,140,5.176,0.518,7141
1,42,630,138,1.436,0.144,7116
1,43,616,134,3.305,0.331,7150
1,44,578,124,8.920,0.892,7150
1,45,562,118,3.879,0.388,7714
1,46,542,112,4.740,0.474,7113
1,47,506,100,8.614,0.861,6968
1,48,492,90,3.905,0.391,6146
1,49,480,86,2.871,0.287,7690
1,50,468,84,2.762,0.276,7373
1,51,444,84,5.448,0.545,7238
1,52,436,74,2.907,0.291,7428
1,53,428,66,2.568,0.257,7163
1,54,396,62,7.321,0.732,5968
1,55,380,62,3.632,0.363,6270
1,56,350,66,6.870,0.687,6478
1,57,336,74,3.660,0.366,6819
1,58,334,74,0.454,0.045,6485
1,59,324,80,2.647,0.265,7331
1,60,304,86,4.740,0.474,6920
1,61,294,94,2.907,0.291,6684
1,62,288,98,1.637,0.164,7212
