Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,406,546,-1.000,-1.000,7315
1,2,418,552,3.046,0.305,6335
1,3,414,548,1.284,0.128,6956
1,4,414,548,0.000,0.000,6405
1,5,414,548,0.000,0.000,7210
1,6,408,556,2.270,0.227,7193
1,7,400,558,1.872,0.187,7460
1,8,394,568,2.647,0.265,7310
1,9,382,590,5.689,0.569,6899
1,10,372,614,5.902,0.590,7578
1,11,370,626,2.762,0.276,8314
1,12,368,644,4.111,0.411,7799
1,13,368,650,1.362,0.136,7585
1,14,360,678,6.610,0.661,5927
1,15,358,688,2.315,0.231,7425
1,16,358,710,4.994,0.499,7094
1,17,356,722,2.762,0.276,7213
1,18,352,742,4.630,0.463,7541
1,19,344,750,2.568,0.257,6997
1,20,334,770,5.076,0.508,5998
1,21,326,784,3.660,0.366,7368
1,22,318,804,4.890,0.489,8129
1,23,318,824,4.540,0.454,7488
1,24,318,830,1.362,0.136,6328
1,25,310,850,4.890,0.489,7808
1,26,298,868,4.911,0.491,7417
1,27,290,888,4.890,0.489,7912
1,28,282,902,3.660,0.366,7718
1,29,278,914,2.871,0.287,6791
1,30,270,930,4.061,0.406,7618
1,31,266,936,1.637,0.164,6021
1,32,270,950,3.305,0.331,5635
1,33,284,972,5.919,0.592,7053
1,34,294,986,3.905,0.391,5574
1,35,302,1004,4.471,0.447,6955
1,36,316,1026,5.919,0.592,7379
1,37,336,1034,4.890,0.489,6718
1,38,360,1034,5.448,0.545,7363
1,39,384,1030,5.523,0.552,7082
1,40,404,1024,4.740,0.474,7424
1,41,428,1014,5.902,0.590,7340
1,42,438,1012,2.315,0.231,7273
1,43,450,1008,2.871,0.287,7247
1,44,472,1002,5.176,0.518,6238
1,45,486,1002,3.178,0.318,7011
1,46,506,1002,4.540,0.454,7568
1,47,526,1004,4.563,0.456,7079
1,48,540,1010,3.458,0.346,6980
1,49,550,1010,2.270,0.227,7293
1,50,566,1020,4.283,0.428,6715
1,51,574,1028,2.568,0.257,7535
1,52,578,1030,1.015,0.102,7343
1,53,578,1028,0.454,0.045,7533
1,54,580,1028,0.454,0.045,6738
1,55,580,1026,0.454,0.045,7254
1,56,584,1026,0.908,0.091,7634
1,57,590,1026,1.362,0.136,7178
1,58,598,1030,2.030,0.203,6430
1,59,606,1036,2.270,0.227,7126
1,60,618,1054,4.911,0.491,7276
1,61,628,1064,3.210,0.321,7221
1,62,634,1068,1.637,0.164,7394
1,63,652,1082,5.176,0.518,7038
1,64,666,1094,4.186,0.419,7120
1,65,678,1100,3.046,0.305,7296
1,66,694,1114,4.826,0.483,7177
1,67,704,1126,3.546,0.355,7259
1,68,716,1134,3.274,0.327,7561
1,69,740,1152,6.810,0.681,7125
1,70,750,1164,3.546,0.355,7944
1,71,784,1198,10.915,1.091,7174
1,72,812,1214,7.321,0.732,7073
1,73,842,1236,8.445,0.844,6878
2,1,942,244,-1.000,-1.000,7941
2,2,942,244,0.000,0.000,8367
2,3,942,244,0.000,0.000,7814
2,4,940,244,0.454,0.045,7993
2,5,932,240,2.030,0.203,7794
2,6,928,240,0.908,0.091,7161
2,7,926,240,0.454,0.045,8502
2,8,926,240,0.000,0.000,7546
2,9,926,240,0.000,0.000,7473
2,10,924,240,0.454,0.045,7635
2,11,924,242,0.454,0.045,6931
2,12,920,242,0.908,0.091,7069
2,13,912,242,1.816,0.182,8171
2,14,910,242,0.454,0.045,8171
2,15,910,242,0.000,0.000,7675
2,16,906,236,1.637,0.164,8309
2,17,900,232,1.637,0.164,7726
2,18,896,228,1.284,0.128,8404
2,19,894,226,0.642,0.064,8171
2,20,886,222,2.030,0.203,8335
2,21,870,212,4.283,0.428,7926
2,22,866,210,1.015,0.102,7476
2,23,866,210,0.000,0.000,6938
2,24,864,210,0.454,0.045,7552
2,25,862,212,0.642,0.064,8413
2,26,862,214,0.454,0.045,7660
2,27,854,214,1.816,0.182,8397
2,28,852,214,0.454,0.045,8165
2,29,846,212,1.436,0.144,7923
2,30,834,206,3.046,0.305,8103
2,31,834,206,0.000,0.000,7580
2,32,834,202,0.908,0.091,7764
2,33,834,200,0.454,0.045,7753
2,34,834,196,0.908,0.091,8409
2,35,834,194,0.454,0.045,8191
2,36,836,192,0.642,0.064,8138
2,37,838,192,0.454,0.045,8431
2,38,838,188,0.908,0.091,8513
2,39,838,186,0.454,0.045,8483
2,40,838,182,0.908,0.091,7922
2,41,838,180,0.454,0.045,8462
2,42,836,178,0.642,0.064,8295
2,43,836,176,0.454,0.045,8412
2,44,836,174,0.454,0.045,8509
2,45,834,172,0.642,0.064,8579
2,46,834,172,0.000,0.000,8638
2,47,834,170,0.454,0.045,7681
2,48,834,170,0.000,0.000,8613
2,49,836,170,0.454,0.045,8394
2,50,848,172,2.762,0.276,6206
2,51,852,184,2.871,0.287,7068
2,52,872,196,5.295,0.529,5699
2,53,880,198,1.872,0.187,7990
2,54,900,210,5.295,0.529,7992
2,55,914,216,3.458,0.346,5870
2,56,914,220,0.908,0.091,7483
2,57,914,222,0.454,0.045,7763
2,58,916,224,0.642,0.064,7824
2,59,924,228,2.030,0.203,7689
2,60,930,234,1.926,0.193,7767
2,61,936,240,1.926,0.193,7865
2,62,942,248,2.270,0.227,7880
2,63,950,252,2.030,0.203,7330
2,64,960,260,2.907,0.291,8559
2,65,966,264,1.637,0.164,8437
2,66,974,272,2.568,0.257,8357
2,67,992,276,4.186,0.419,7711
2,68,1002,284,2.907,0.291,6920
2,69,1000,306,5.015,0.501,7505
2,70,1002,310,1.015,0.102,7494
2,71,1002,312,0.454,0.045,8049
2,72,1006,316,1.284,0.128,8286
2,73,1014,320,2.030,0.203,7341
3,1,194,310,-1.000,-1.000,7525
3,2,194,302,1.816,0.182,5872
3,3,194,300,0.454,0.045,7195
3,4,192,292,1.872,0.187,6107
3,5,192,286,1.362,0.136,6594
3,6,190,282,1.015,0.102,7390
3,7,188,280,0.642,0.064,6460
3,8,180,280,1.816,0.182,6875
3,9,172,286,2.270,0.227,7553
3,10,160,308,5.689,0.569,6786
3,11,160,328,4.540,0.454,6931
3,12,158,362,7.731,0.773,7606
3,13,160,382,4.563,0.456,7381
3,14,160,394,2.724,0.272,8543
3,15,174,420,6.703,0.670,8295
3,16,190,432,4.540,0.454,7280
3,17,214,444,6.091,0.609,8629
3,18,244,456,7.335,0.733,4959
3,19,254,464,2.907,0.291,5054
3,20,256,466,0.642,0.064,10197
3,21,270,478,4.186,0.419,9729
3,22,286,492,4.826,0.483,8858
3,23,304,512,6.108,0.611,4695
3,24,310,534,5.176,0.518,7192
3,25,316,542,2.270,0.227,6969
3,26,314,544,0.642,0.064,7501
3,27,308,550,1.926,0.193,7183
3,28,294,550,3.178,0.318,6648
3,29,288,550,1.362,0.136,9306
3,30,276,570,5.295,0.529,7724
3,31,268,590,4.890,0.489,6735
3,32,258,604,3.905,0.391,7261
3,33,250,624,4.890,0.489,7136
3,34,242,638,3.660,0.366,6938
3,35,234,660,5.314,0.531,6821
3,36,224,674,3.905,0.391,7784
3,37,222,684,2.315,0.231,6995
3,38,214,696,3.274,0.327,6878
3,39,210,712,3.744,0.374,6693
3,40,208,720,1.872,0.187,6635
3,41,206,740,4.563,0.456,7029
3,42,204,750,2.315,0.231,5543
3,43,194,764,3.905,0.391,6097
3,44,182,776,3.852,0.385,7046
3,45,174,782,2.270,0.227,7557
3,46,158,794,4.540,0.454,5934
3,47,134,812,6.810,0.681,7318
3,48,128,814,1.436,0.144,6939
3,49,106,826,5.689,0.569,6882
3,50,96,832,2.647,0.265,8664
3,51,80,838,3.879,0.388,7732
3,52,68,846,3.274,0.327,8276
3,53,62,846,1.362,0.136,8859
3,54,44,848,4.111,0.411,5299
3,55,26,856,4.471,0.447,7049
4,1,1122,552,-1.000,-1.000,8386
4,2,1116,554,1.436,0.144,7523
4,3,1116,554,0.000,0.000,7995
4,4,1116,554,0.000,0.000,7947
4,5,1116,556,0.454,0.045,8140
4,6,1118,556,0.454,0.045,7857
4,7,1122,556,0.908,0.091,7492
4,8,1122,552,0.908,0.091,8048
4,9,1124,552,0.454,0.045,7816
4,10,1124,550,0.454,0.045,7318
4,11,1114,548,2.315,0.231,7883
4,12,1096,562,5.176,0.518,7523
4,13,1084,568,3.046,0.305,8031
4,14,1082,570,0.642,0.064,7728
4,15,1076,576,1.926,0.193,7943
4,16,1076,576,0.000,0.000,7952
4,17,1076,574,0.454,0.045,8302
4,18,1076,572,0.454,0.045,8505
4,19,1076,572,0.000,0.000,8172
4,20,1076,572,0.000,0.000,8082
4,21,1080,572,0.908,0.091,7998
4,22,1082,568,1.015,0.102,7956
4,23,1082,566,0.454,0.045,7510
4,24,1082,566,0.000,0.000,6910
4,25,1082,568,0.454,0.045,7668
4,26,1082,570,0.454,0.045,7524
4,27,1082,572,0.454,0.045,7826
4,28,1080,574,0.642,0.064,7839
4,29,1078,576,0.642,0.064,7214
4,30,1076,580,1.015,0.102,7631
4,31,1074,600,4.563,0.456,8314
4,32,1070,610,2.445,0.244,7967
4,33,1060,630,5.076,0.508,7288
4,34,1052,634,2.030,0.203,7637
4,35,1048,644,2.445,0.244,7158
4,36,1042,650,1.926,0.193,7524
4,37,1038,660,2.445,0.244,8290
4,38,1022,686,6.930,0.693,7706
